Country,Name of policy,Energy Type,Date of announcement,Date of entry info force,"Value committed, USD"
Italy,Recovery Fund M2C2 Investment 3.4 . Testing of hydrogen for rail transport,hydrogen,30/04/2021,13/07/2021,342465754
Italy,"Complementary Fund &#8211; Investment &#8220;Renewal of bus fleets, green trains, green ships&#8221; &#8211; Ships",multiple energy types,06/05/2021,08/05/2021,51369864
Italy,Recovery Fund M2C2 Investment 4.1 &#8211; Strengthening of cycling mobility,active transport,30/04/2021,13/07/2021,684931507
Italy,Recovery Fund M2C2 Investment 3.3 &#8211; Testing of hydrogen for road transport,hydrogen,30/04/2021,13/07/2021,262557078
Italy,Recovery Fund M2C2 Investment 3.2 &#8211; Use of hydrogen in hard-to-abate sectors,hydrogen,30/04/2021,13/07/2021,2283105023
Italy,Recovery Fund M2C2 Investment 3.1 &#8211; Hydrogen production in abandoned industrial areas,hydrogen,30/04/2021,13/07/2021,570776256
Italy,"Recovery Fund M3C1 Investment 1.7 and 1.8 &#8211; Upgrade, electrification and increase of the resilience of railways and rail stations in the South",multiple energy types,30/04/2021,13/07/2021,3538812786
Italy,Recovery Fund M3C1 Investment 1.6 &#8211; Strengthening of regional railways,multiple energy types,30/04/2021,13/07/2021,1073059361
Italy,Recovery Fund M3C1 Investment 1.5 &#8211; Strengthening of metropolitan railway nodes and key national connections,multiple energy types,30/04/2021,13/07/2021,3390410959
Italy,Recovery Fund M3C1 Investment 1.3 &#8211; Diagonal connections,multiple energy types,30/04/2021,13/07/2021,1803652969
Italy,Recovery Fund M3C1 Investment 1.2 &#8211; High-speed railways in the North that connect to Europe,multiple energy types,30/04/2021,13/07/2021,9783105023
Italy,Recovery Fund M3C1 Investment 1.1 &#8211; High-speed railways in the South for passengers and freight,multiple energy types,30/04/2021,13/07/2021,5296803653
Italy,Recovery Fund M2C2 Investment 1.3 &#8211; Promotion of innovative power plants (including off-shore),multiple renewable,30/04/2021,13/07/2021,776255708
Italy,Recovery Fund M2C2 Investment 1.2 &#8211; Renewable energy promotion for energy communities and self-consumption,multiple renewable,30/04/2021,13/07/2021,2511415526
Italy,Recovery Fund M2C2 Investment 1.1 &#8211; Agro-solar development,solar,30/04/2021,13/07/2021,1255707763
Italy,Recovery Fund M2C3 Investment 1.2 &#8211; Retrofitting of judicial buildings,energy efficiency,30/04/2021,13/07/2021,468036530
Italy,Recovery Fund M2C3 Investment 1.1 &#8211; Plan for the replacement of school buildings and energy retrofit,energy efficiency,30/04/2021,13/07/2021,913242010
Italy,Recovery Fund M2C1 Investment 3.1 &#8211; Green islands,multiple renewable,30/04/2021,13/07/2021,228310503
Italy,Recovery Fund M2C1 Investment 2.2 &#8211; Agrisolar park,solar,30/04/2021,13/07/2021,1712328768
Italy,"Recovery Fund M1C3 Investment 1.3 &#8211; Improve energy efficiency in cinema, theatres and museums",energy efficiency,30/04/2021,13/07/2021,342465754
Italy,Lombardy Region incentives for electric outlets,multiple energy types,15/02/2021,01/03/2021,2283106
Italy,Lombardy Region incentives for the purchase of environmentally friendly cars,multiple energy types,11/02/2021,11/02/2021,20547946
Italy,"Extra bonus: Incentives for the purchase of Euro 6 vehicles, with Co2 emissions between 61 e 135 g/Km",multiple energy types,17/12/2020,01/01/2021,331050229
Italy,Extra bonus: Hybrid and electric vehicles incentives,multiple energy types,17/12/2020,01/01/2021,148401827
Italy,Financing of Green projects in the Municipality of Bologna through the React-EU funds,multiple energy types,05/12/2020,01/12/2020,62785389
Italy,"Amendment to the Decreto Rilancio including up to 2,000 euros incentive for the purchase of a new car",oil and oil products,03/07/2020,01/08/2020,57077626
Italy,Government incentive of up to 500 euros for people living in cities who buy a new bike or electric scooter,multiple energy types,14/05/2020,03/11/2020,239726028
